Revelation 1,2 Chronicles 10
Revelation 2,2 Chronicles 11-12
Revelation 3,2 Chronicles 13
Revelation 4,2 Chronicles 14-15
Revelation 5,2 Chronicles 16
Revelation 6,2 Chronicles 17
Revelation 7,2 Chronicles 18
Revelation 8,2 Chronicles 19-20
Revelation 9,2 Chronicles 21
Revelation 10    ,2 Chronicles 22-23
Revelation 11,2 Chronicles 24
Revelation 12,2 Chronicles 25
Revelation 13,2 Chronicles 26
Revelation 14,2 Chronicles 27-28
Revelation 15,2 Chronicles 29
Revelation 16,2 Chronicles 30
Revelation 17,2 Chronicles 31
Revelation 18,2 Chronicles 32
Revelation 19,2 Chronicles 33
Revelation 20,2 Chronicles 34
Revelation 21,2 Chronicles 35
Revelation 22,2 Chronicles 36
Acts 1,Ezra 1
Acts 2,Ezra 2
Acts 3,Ezra 3
Acts 4,Ezra 4
Acts 5,Ezra 5  
Acts 6,Ezra 6
Acts 7,Ezra 7
Acts 8,Ezra 8
Acts 9,Ezra 9
Acts 10,Ezra 10
Acts 11,Nehemiah 1
Acts 12,Nehemiah 2
Acts 13,Nehemiah 3
Acts 14,Nehemiah 4
Acts 15,Nehemiah 5
Acts 16,Nehemiah 6
Acts 17,Nehemiah 7
Acts 18,Nehemiah 8
Acts 19,Nehemiah 9
Acts 20,Nehemiah 10
Acts 21,Nehemiah 11
Acts 22,Nehemiah 12
Acts 23,Nehemiah 13
Acts 24,Esther 1
Acts 25,Esther 2
Acts 26,Esther 3
Acts 27,Esther 4
Acts 28,Esther 5
Romans 1,Esther 6
Romans 2,Esther 7
Romans 3,Esther 8
Romans 4,Esther 9-10
Romans 5,Job 1
Romans 6,Job 2
Romans 7,Job 3
Romans 8,Job 4
Romans 9,Job 5
Romans 10,Job 6
Romans 11,Job 7
Romans 12,Job 8
Romans 13,Job 9
Romans 14,Job 10
Romans 15,Job 11
Romans 16,Job 12
1 Corinthians 1,Job 13
1 Corinthians 2,Job 14
1 Corinthians 3,Job 15
1 Corinthians 4,Job 16-17
1 Corinthians 5,Job 18
1 Corinthians 6,Job 19
1 Corinthians 7,Job 20
1 Corinthians 8,Job 21
1 Corinthians 9,Job 22
1 Corinthians 10,Job 23
1 Corinthians 11,Job 24
1 Corinthians 12,Job 25-26
1 Corinthians 13,Job 27
1 Corinthians 14,Job 28
1 Corinthians 15,Job 29
1 Corinthians 16,Job 30
2 Corinthians 1,Job 31
2 Corinthians 2,Job 32
2 Corinthians 3,Job 33
2 Corinthians 4,Job 34
2 Corinthians 5,Job 35
2 Corinthians 6,Job 36
2 Corinthians 7,Job 37
2 Corinthians 8,Job 38
2 Corinthians 9,Job 39
2 Corinthians 10,Job 40
2 Corinthians 11,Job 41
2 Corinthians 12,Job 42
